gene,cell_type,ank2_region,region_start,region_end,mapped_feature,confidence,source,note
MYL6B,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYO18A,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYO1B,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYO5A,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NAP1L1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NCL,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NEFL,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NEFM,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NONO,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
NPM1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PABPC3,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PGAM5,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PLEKHA5,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PLXDC2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPIA,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1CA,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1CB,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1R12A,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1R18,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1R9A,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PPP1R9B,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PRDX1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PRPF8,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PRPH,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PRR36,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
PSD2,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RABL6,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RAC1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RAI14,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RFC1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL10A,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL14,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL18,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL18A,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL27,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL34,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL6,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPL7,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPLP2,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RPUSD3,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RRBP1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,Interaction with ANK2 documented (UniProt Q01484 INTERACTION/IntAct) but NO ANK2 binding region specified; region = not specified.
RTN4RL2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
RTP1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SF3B1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SIPA1L3,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SNX9,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SOGA3,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SPECC1L,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SPTAN1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,Spectrin family member in ANK2 PPI network; association with ankyrin-complex plausible but no explicit ANK2 binding region documented (ANK2 ZU5/UPA interaction documented only for SPTBN1/beta-II-spectrin). Region = not specified.
SPTBN1,Both,Interaction with SPTBN1 (spectrin-binding region 966-1125),966,1125,ZU5 1 (968-1156),high,"UniProt Q01484 REGION 966-1125 'Interaction with SPTBN1' (PubMed 15262991; mutagenesis D975A/R977A and A1000P prevent SPTBN1 binding); UniProt DOMAIN note: ZU5-1 mediates beta-spectrin interaction, PubMed 22411828 (Wang et al. 2012 PNAS); Chirasani et al. 2025 JBC (10.1016/j.jbc.2025.110872): AnkB SBD residues 966-1125 modeled and co-IP validated to engage beta2-spectrin (SPTBN1, UniProt Q01082) repeats 14-15; inherited ASD missense R977Q in Zu5A disrupts beta2-spectrin binding.","Explicit ANK2 interaction interval 966-1125 (UniProt REGION annotation; JBC 2025 SBD definition), overlapping Step-3 ZU5 1 domain (968-1156). The full ZU5 1 domain extends to 1156; not all of 968-1156 is necessarily the SPTBN1 binding interface."
SPTBN2,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,Spectrin family member in ANK2 PPI network; association with ankyrin-complex plausible but no explicit ANK2 binding region documented (ANK2 ZU5/UPA interaction documented only for SPTBN1/beta-II-spectrin). Region = not specified.
SRCIN1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SVIL,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SYNCRIP,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
SYT1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TANC2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TIMP1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TMOD1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TMOD3,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TPM1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TPM3,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TPM4,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TUBA1A,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TUBB,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
TUBB2A,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
UCHL1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
USO1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
USP42,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
VDAC2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
VIM,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
VIRMA,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
YWHAE,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
YWHAH,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
YWHAQ,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
YWHAZ,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
